"team","game_id","winner","total_scoring","first_scoring","second_scoring","third_scoring","overtime_scoring","shootout_scoring","total_shots","first_shots","second_shots","third_shots","overtime_shots","shootout_shots","blocked_opponent_shots","successful_power_play","power_play_opportunities","power_play_percent","faceoff_percent","penalty_minutes","takeaways","giveaways"
"ctw",268123,"Yes",2,1,0,0,0,1,29,11,9,8,1,7,17,0,3,0,0.373,10,17,11
"met",268123,"No",1,1,0,0,0,0,35,13,5,13,4,8,5,0,5,0,0.627,6,11,17
