"game_id","home_team","away_team","period_id","event_no","description","time_remaining","on_ice_situation","home_goals","away_goals","leader","team","event","first_player","first_number","second_player","second_number","third_player","third_number","shot_type","shot_result","goalie_involved","penalty","penalty_length","penalty_type","penalty_called","offensive_player_one","offensive_player_two","offensive_player_three","offensive_player_four","offensive_player_five","home_goalie","away_goalie"
268078,"CTW","BUF",1,20,"#6 Shannon Doyle giveaway to #23 Corinne Buie1 GvA2 TkA","9:40","Power Play","0 ","1","BUF","ConnecticutCTW","Giveaway","Shannon Doyle",6,"Corinne Buie",23,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,21,"#15 Emma Vlasic faceoff won against #21 Kim Brown","9:37","Power Play","0 ","1","BUF","ConnecticutCTW","Faceoff","Emma Vlasic",15,"Kim Brown",21,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,22,"#4 Taylor Marchin blocked by #19 Ashley Birdsall1 Blk","8:00","Power Play","0 ","1","BUF","ConnecticutCTW","Shot BLK","Taylor Marchin",4,"Ashley Birdsall",19,NA,NA,NA,"blocked","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,23,"#16 Hanna Beattie faceoff won against #17 Cassidy MacPherson","7:27","Even Strength","0 ","1","BUF","ConnecticutCTW","Faceoff","Hanna Beattie",16,"Cassidy MacPherson",17,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,24,"#12 Kendra Broad saved by #37 Mariah Fujimagari","7:02","Even Strength","0 ","1","BUF","ConnecticutCTW","Shot","Kendra Broad",12,"Mariah Fujimagari",37,NA,NA,NA,"saved","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,25,"#11 Megan Delay Roughing against #12 Kendra BroadMinor 2 minsPower Play","7:02","Power Play","0 ","1","BUF","BuffaloBUF","Penalty","Megan Delay",11,"Kendra Broad",12,NA,NA,NA,NA,NA,1,"2 mins","Minor","Roughing",NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,26,"#15 Emma Vlasic faceoff won against #21 Kim Brown","7:02","Power Play","0 ","1","BUF","ConnecticutCTW","Faceoff","Emma Vlasic",15,"Kim Brown",21,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,27,"#6 Shannon Doyle Hooking against #21 Kim BrownMinor 2 minsPower Play","6:20","Power Play","0 ","1","BUF","ConnecticutCTW","Penalty","Shannon Doyle",6,"Kim Brown",21,NA,NA,NA,NA,NA,1,"2 mins","Minor","Hooking",NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,28,"#23 Corinne Buie faceoff won against #21 Sarah Schwenzfeier","6:20","Power Play","0 ","1","BUF","BuffaloBUF","Faceoff","Corinne Buie",23,"Sarah Schwenzfeier",21,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,29,"#5 Lenka Curmova blocked by #21 Sarah Schwenzfeier2 Blk","6:06","Power Play","0 ","1","BUF","BuffaloBUF","Shot BLK","Lenka Curmova",5,"Sarah Schwenzfeier",21,NA,NA,NA,"blocked","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,30,"#23 Corinne Buie blocked by #4 Taylor Marchin1 Blk","5:50","Power Play","0 ","1","BUF","BuffaloBUF","Shot BLK","Corinne Buie",23,"Taylor Marchin",4,NA,NA,NA,"blocked","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,31,"#2 Maddie Evangelous saved by #37 Mariah Fujimagari","5:17","Power Play","0 ","1","BUF","ConnecticutCTW","Shot","Maddie Evangelous",2,"Mariah Fujimagari",37,NA,NA,NA,"saved","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,32,"#2 Maddie Evangelous blocked by #15 Kandice Sheriff1 Blk","5:03","Power Play","0 ","1","BUF","ConnecticutCTW","Shot BLK","Maddie Evangelous",2,"Kice Sheriff",15,NA,NA,NA,"blocked","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,33,"#8 Iveta Klimasova blocked by #2 Maddie Evangelous1 Blk","4:20","Power Play","0 ","1","BUF","BuffaloBUF","Shot BLK","Iveta Klimasova",8,"Maddie Evangelous",2,NA,NA,NA,"blocked","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,34,"#15 Kandice Sheriff blocked by #16 Hanna Beattie1 Blk","3:39","Even Strength","0 ","1","BUF","BuffaloBUF","Shot BLK","Kice Sheriff",15,"Hanna Beattie",16,NA,NA,NA,"blocked","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,35,"#11 Megan Delay saved by #31 Sonjia Shelly","3:28","Even Strength","0 ","1","BUF","BuffaloBUF","Shot","Megan Delay",11,"Sonjia Shelly",31,NA,NA,NA,"saved","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,36,"#95 Taylor Accursi Interference against #24 Sarah HughsonMinor 2 minsPower Play","2:48","Power Play","0 ","1","BUF","BuffaloBUF","Penalty","Taylor Accursi",95,"Sarah Hughson",24,NA,NA,NA,NA,NA,1,"2 mins","Minor","Interference",NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,37,"#88 Sara Bustad faceoff won against #21 Sarah Schwenzfeier","2:48","Power Play","0 ","1","BUF","BuffaloBUF","Faceoff","Sara Bustad",88,"Sarah Schwenzfeier",21,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,38,"#6 Shannon Doyle blocked by #12 Ana Orzechowski1 Blk","1:41","Power Play","0 ","1","BUF","ConnecticutCTW","Shot BLK","Shannon Doyle",6,"Ana Orzechowski",12,NA,NA,NA,"blocked","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
