"team","successful_power_play","power_play_opportunities","power_play_percent","penalty_minutes","faceoff_percent","blocked_opponent_shots","takeaways","giveaways","first_shots","second_shots","third_shots","overtime_shots","total_shots","first_scoring","second_scoring","third_scoring","overtime_scoring","shootout_scoring","total_scoring","winner","game_id"
"ctw",0,3,0,10,0.373,17,17,11,11,9,8,1,29,1,0,0,0,"1 (1 - 7)",2,"Yes",NA
"met",0,5,0,6,0.627,5,11,17,13,5,13,4,35,1,0,0,0,"0 (0 - 8)",1,"No",NA
