"event","team","time","description","event_no","period_id","desc","on_ice_situation","shot_type","shot_result","penalty_type","penalty_called","penalty_length","penalty","score","first_player","first_number","second_player","second_number","third_player","third_number","minute_start","second_start","clock","offensive_player_one","offensive_number_one","offensive_player_two","offensive_number_two","offensive_player_three","offensive_number_three","offensive_player_four","offensive_number_four","offensive_player_five","offensive_number_five","leader","away_goals","home_goals","sec_from_start","power_play_seconds","start_power_play","end_power_play","away_team","home_team","goalie_change","away_goalie","home_goalie","goalie_involved","time_elapsed","time_remaining","game_id"
"Shot","BuffaloBUF","04:25","#23 Corinne Buie saved by #31 Sonjia Shelly",14,1,"23 Corinne Buie   31 Sonjia Shelly","Power Play",NA,"saved",NA,NA,NA,0,"0 - 0 T","Corinne Buie",23,"Sonjia Shelly",31,NA,NA,4,25,"15:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","0","0",265,NA,243,363,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","04:25","15:35",268078
"PP Goal","BuffaloBUF","04:29","#5 Lenka Curmova from #4 Marie-Jo Pelletier and #23 Corinne BuieWrist shotPower Play1 - 0 BUF",15,1,"5 Lenka Curmova  4 Marie-Jo Pelletier  23 Corinne Buie","Power Play","Wrist shot","made",NA,NA,NA,0,"1 - 0 BUF","Lenka Curmova",5,"Marie-Jo Pelletier",4,"Corinne Buie",23,4,29,"15:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",269,NA,243,363,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","04:29","15:31",268078
"Shot","ConnecticutCTW","06:00","#14 Elena Orlando saved by #37 Mariah Fujimagari",16,1,"14 Elena Orlo   37 Mariah Fujimagari","Power Play",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Elena Orlo",14,"Mariah Fujimagari",37,NA,NA,6,0,"13:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",360,NA,243,363,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","06:00","13:00",268078
"Shot BLK","ConnecticutCTW","06:51","#6 Shannon Doyle blocked by #17 Cassidy MacPherson1 Blk",17,1,"6 Shannon Doyle   17 Cassidy MacPherson","Even Strength",NA,"blocked",NA,NA,NA,0,"1 - 0 BUF","Shannon Doyle",6,"Cassidy MacPherson",17,NA,NA,6,51,"13:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",411,NA,243,363,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","06:51","13:09",268078
"Faceoff","ConnecticutCTW","07:20","#15 Emma Vlasic faceoff won against #88 Sara Bustad",18,1,"15 Emma Vlasic   88 Sara Bustad","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Emma Vlasic",15,"Sara Bustad",88,NA,NA,7,20,"12:40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",440,NA,243,363,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"07:20","12:40",268078
"Penalty","BuffaloBUF","09:28","#95 Taylor Accursi Tripping against #8 Erin HallMinor 2 minsPower Play",19,1,"95 Taylor Accursi   8 Erin Hall","Power Play",NA,NA,"Minor","Tripping","2 mins",1,"1 - 0 BUF","Taylor Accursi",95,"Erin Hall",8,NA,NA,9,28,"10:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",568,120,568,688,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"09:28","10:32",268078
"Giveaway","ConnecticutCTW","10:20","#6 Shannon Doyle giveaway to #23 Corinne Buie1 GvA2 TkA",20,1,"6 Shannon Doyle   23 Corinne Buie","Power Play",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Shannon Doyle",6,"Corinne Buie",23,NA,NA,10,20,"9:40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",620,NA,568,688,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"10:20","9:40",268078
"Faceoff","ConnecticutCTW","10:23","#15 Emma Vlasic faceoff won against #21 Kim Brown",21,1,"15 Emma Vlasic   21 Kim Brown","Power Play",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Emma Vlasic",15,"Kim Brown",21,NA,NA,10,23,"9:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",623,NA,568,688,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"10:23","9:37",268078
"Shot BLK","ConnecticutCTW","11:00","#4 Taylor Marchin blocked by #19 Ashley Birdsall1 Blk",22,1,"4 Taylor Marchin   19 Ashley Birdsall","Power Play",NA,"blocked",NA,NA,NA,0,"1 - 0 BUF","Taylor Marchin",4,"Ashley Birdsall",19,NA,NA,11,0,"8:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",660,NA,568,688,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","11:00","8:00",268078
"Faceoff","ConnecticutCTW","12:33","#16 Hanna Beattie faceoff won against #17 Cassidy MacPherson",23,1,"16 Hanna Beattie   17 Cassidy MacPherson","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Hanna Beattie",16,"Cassidy MacPherson",17,NA,NA,12,33,"7:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",753,NA,568,688,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"12:33","7:27",268078
