full_team_name,team_abbr,team_nick,team_location,team_color1,team_color2,team_logo
PWHL Boston,BOS,Boston,Boston,#154734,#000000,https://assets.leaguestat.com/pwhl/logos/50x50/1.png
PWHL Minnesota,MIN,Minnesota,Minnesota,#A6192E,#0F2147,https://assets.leaguestat.com/pwhl/logos/50x50/2.png
PWHL Montreal,MON,Montreal,Montreal,#862633,#000000,https://assets.leaguestat.com/pwhl/logos/50x50/3.png
PWHL New York,NY,New York,New York,#003DA5,#A4D2DD,https://assets.leaguestat.com/pwhl/logos/50x50/4.png
PWHL Ottawa,OTT,Ottawa,Ottawa,#C8102E,#FFCD00,https://assets.leaguestat.com/pwhl/logos/50x50/5.png
PWHL Toronto,TOR,Toronto,Toronto,#1B2858,#231F20,https://assets.leaguestat.com/pwhl/logos/50x50/6.png
Boston Fleet,BOS,Fleet,Boston,#154734,#F2BE5C,https://assets.leaguestat.com/pwhl/logos/50x50/1.png
Minnesota Frost,MIN,Frost,Minnesota,#5DADEC,#0F2147,https://assets.leaguestat.com/pwhl/logos/50x50/2.png
Montréal Victoire,MON,Victoire,Montréal,#862633,#E8D9B0,https://assets.leaguestat.com/pwhl/logos/50x50/3.png
New York Sirens,NY,Sirens,New York,#0E4D88,#E5D6A2,https://assets.leaguestat.com/pwhl/logos/50x50/4.png
Ottawa Charge,OTT,Charge,Ottawa,#A21D2F,#2A2A2A,https://assets.leaguestat.com/pwhl/logos/50x50/5.png
Toronto Sceptres,TOR,Sceptres,Toronto,#693E96,#FFD64F,https://assets.leaguestat.com/pwhl/logos/50x50/6.png
Seattle Torrent,SEA,Torrent,Seattle,#0E5C73,#A4D2DD,
Vancouver Goldeneyes,VAN,Goldeneyes,Vancouver,#F2C53D,#0C2D48,
